Company,Account,AU,Primary Account,Secondary Account,GL Balance,iHub Balance,predicted_label,anomaly_score,anomaly_bucket,Balance Difference,Bucket Description
Doyle Ltd,740,4457,COMMERCIAL LOANS,INTEREST RECEIVABLE,83000,83000,Anomaly,-0.012115576065986344,1.0,0.0,Inconsistent variations in outstanding balances
"Mcclain, Miller and Henderson",298,7026,RETAIL LOANS,INTEREST RECEIVABLE,32000,23000,Anomaly,-0.01904817492078903,2.0,9000.0,Consistent increase or decrease in outstanding balances
"Guzman, Hoffman and Baldwin",365,3735,COMMERCIAL LOANS,DEFERRED COSTS,82000,93000,Anomaly,-0.0730059011423645,8.0,-11000.0,Reversal or correction entry detected
Abbott-Munoz,327,3108,RETAIL LOANS,DEFERRED COSTS,88000,105000,Anomaly,-0.027475048657229495,11.0,-17000.0,"No clear pattern, but deviation exceeds threshold"
Galloway-Wyatt,493,9115,ALL LOB LOANS,PRINCIPAL,22000,22000,Anomaly,-0.02157960346863852,1.0,0.0,Inconsistent variations in outstanding balances
James Group,507,1719,RETAIL LOANS,INTEREST RECEIVABLE,30000,24000,Anomaly,-0.027450171478111796,2.0,6000.0,Consistent increase or decrease in outstanding balances
"Flowers, Martin and Kelly",370,9719,ALL LOB LOANS,PRINCIPAL,28000,25000,Anomaly,-0.07126249681842767,1.0,3000.0,Inconsistent variations in outstanding balances
"Ross, Robinson and Bright",117,9704,ALL LOB LOANS,INTEREST RECEIVABLE,28000,28000,Anomaly,-0.001058573580248745,1.0,0.0,Inconsistent variations in outstanding balances
"Snyder, Campos and Callahan",393,7513,ALL LOB LOANS,DEFERRED COSTS,79000,67000,Anomaly,-0.03709600978284988,4.0,12000.0,Outstanding balances are not in line with previous months
Burton Ltd,141,3522,COMMERCIAL LOANS,INTEREST RECEIVABLE,91000,91000,Anomaly,-0.023651337965907127,1.0,0.0,Inconsistent variations in outstanding balances
"Romero, Gonzalez and Brooks",595,8744,COMMERCIAL LOANS,PRINCIPAL,30000,30000,Anomaly,-0.011792483980995638,1.0,0.0,Inconsistent variations in outstanding balances
Ryan PLC,545,7208,RETAIL LOANS,INTEREST RECEIVABLE,24000,24000,Anomaly,-0.025150420386178207,1.0,0.0,Inconsistent variations in outstanding balances
"Martin, Rose and Obrien",428,7969,ALL LOB LOANS,INTEREST RECEIVABLE,63000,79000,Anomaly,-0.0543258572254921,11.0,-16000.0,"No clear pattern, but deviation exceeds threshold"
"Harris, Collins and Carney",386,2994,ALL LOB LOANS,DEFERRED COSTS,71000,60000,Anomaly,-0.028896427261893343,4.0,11000.0,Outstanding balances are not in line with previous months
"Robinson, Jones and Welch",675,6838,RETAIL LOANS,INTEREST RECEIVABLE,40000,43000,Anomaly,-0.032313490393126365,1.0,-3000.0,Inconsistent variations in outstanding balances
"Washington, Ryan and Cummings",118,4195,RETAIL LOANS,DEFERRED COSTS,58000,58000,Anomaly,-0.006127601037650532,1.0,0.0,Inconsistent variations in outstanding balances
"Brown, Valdez and Lucas",798,9951,ALL LOB LOANS,PRINCIPAL,72000,87000,Anomaly,-0.0398005569012998,11.0,-15000.0,"No clear pattern, but deviation exceeds threshold"
Powell LLC,931,1997,COMMERCIAL LOANS,PRINCIPAL,102000,102000,Anomaly,-0.03975420875716651,1.0,0.0,Inconsistent variations in outstanding balances
Wright and Sons,407,5467,COMMERCIAL LOANS,INTEREST RECEIVABLE,60000,77000,Anomaly,-0.0080244509523405,11.0,-17000.0,"No clear pattern, but deviation exceeds threshold"
